Title,Type,Location,Description,Link,Catergory
"BI Consultant - SQL, Data Warehouse, Power BI",Permanent,South East England,"  Data Analyst - Power BI - Coventry, Data / analytics / bi developer / analyst / power bi / power apps / azure / data factory, Data Analyst required for a leading manufacturing company based in Coventry to be responsible for Identifying business reporting and analytic needs by collaborating with end users, stakeholders and technology teams Design, develop, and maintain enterprise  BI reports, visualizations and dashboards., Key responsibilities, Key Skills, The salary my client is offering is between £40,000 and £45,000 per annum depending on experience., Interested?! Send your up to date CV to Claire Ingram at Crimson for review, Not interested?! Do you know anyone that might be? Refer a friend for this role to earn £250 worth of vouchers., Crimson are acting as an employment agency in regard to this vacancy  ",https://www.reed.co.uk//jobs/bi-consultant-sql-data-warehouse-power-bi/43488973?source=searchResults&filter=%2fjobs%2fbusiness-analytic-jobs,business analytic
"BI Consultant - SQL, Data Warehouse, Power BI",Permanent,South East England,"  Senior BI/ Data Analyst - Power BI - Coventry, Data / analytics / bi developer / analyst / power bi / power apps / azure / data factory , Senior Data Analyst required for a leading manufacturing company based in Coventry to be responsible for Identifying business reporting and analytic needs by collaborating with end users, stakeholders and technology teams Design, develop, and maintain enterprise  BI reports, visualizations and dashboards., Key responsibilities, Key Skills, The salary my client is offering is between £40,000 and £42,000 per annum depending on experience. , Interested?! Send your up to date CV to Claire Ingram at Crimson for review, Not interested?! Do you know anyone that might be? Refer a friend for this role to earn £250 worth of vouchers., Crimson are acting as an employment agency in regard to this vacancy  ",https://www.reed.co.uk//jobs/bi-consultant-sql-data-warehouse-power-bi/43488973?source=searchResults&filter=%2fjobs%2fbusiness-analytic-jobs,business analytic
Import Merchandiser / Buying Admin Assistant,Permanent,Harrogate,"  SENIOR MARKETING ANALYST , LONDON, £65,000-£80,000 +BONUS +BENEFITS, THE COMPANY, Working with one of the leading FinTech startups to support growth by applying statistical and analytical techniques to then provide actionable customer and marketing insight. Work with a strong marketing focus, and work on campaign/CRM data. , THE ROLE, As a Senior Marketing Analyst, you will sit in the Customer Insight team. Some of your main responsibilities will be:, YOUR SKILLS AND EXPERIENCE, A successful Senior Marketing Analyst will have:, THE BENEFITS, HOW TO APPLY, Please register your interest by sending your CV to Lydia via the apply link on this page.  ",https://www.reed.co.uk//jobs/import-merchandiser-buying-admin-assistant/43881676?source=searchResults&filter=%2fjobs%2fbusiness-analytic-jobs,business analytic
Import Merchandiser / Buying Admin Assistant,Permanent,Harrogate,"  Perm opportunity - BI Reporting Analyst - Norwich (could be remote) £40,000 - £50,000 Your new companyWorking for a leading Construction amp; Utility provider who are an employer of choice across the UK.Your new roleIn your new role as BI Reporting Analyst you will be providing dynamic and visual management information to give effective decision-making capability. You will support both the regional contract teams and the wider business in the deployment of both financial  and non-financial information. What you ll need to succeedYou must have strong commercial acumen with experience of operating in a complex high volume transactional business. Advanced data analytic skills, preferably with experience of developing and deploying PowerBI is essential, as well as being an advanced excel  user, power pivots and query. Effective communication is key as you will be able engaging with a number of stakeholders to influence change with wide business awareness and are able to lead on both finance and non-finance matters What you ll get in returnThis is a newly created role and comes with the autonomy to develop and shape it as you like. There is flexible working available and could be remote. The salary is £40,000 - £50,000 per annum and comes with a range of benefits.What you need to do nowIf you re interested in this role, click  apply now  to forward an up-to-date copy of your CV, or call us now.If this job isn t quite right for you but you are looking for a new position, please contact us for a confidential discussion on your career., Hays EA is a trading division of Hays Specialist Recruitment Limited and acts as an employment agency for permanent recruitment and employment business for the supply of temporary workers. By applying for this job you accept the Tamp;C s, Privacy Policy and  Disclaimers which can be found at hays.co.uk  ",https://www.reed.co.uk//jobs/import-merchandiser-buying-admin-assistant/43881676?source=searchResults&filter=%2fjobs%2fbusiness-analytic-jobs,business analytic
Finance Manager,Permanent,Warrington,"  We are recruiting for a Business Development Coordinator to join our Business Development Team in our\xa0Head Office.\xa0 \xa0, Reporting directly into the Business Development Manager for online -working closely with our pure player\xa0clients including\xa0End Clothing, ASOS, Next Very.com and Littlewoods., This is a great opportunity for someone who is digitally curious and has an excellent understanding of ecommerce platforms. You should\xa0be a self-starter, who is willing to learn and take direction.\xa0 This is a chance for someone to thrive within a incredibly  dynamic\xa0and successful team.\xa0, The Role, About you, Benefits, Our core shift hours are from 8am – 10:00am, i.e. employees can choose to work 8-4:30pm, 8:30-5pm, etc. plus early finish on Friday!,  Fred Perry believe in diversity and inclusion, we want you to know that your CV will be submitted anonymously and personal details will be hidden from hiring managers until the interview stage. We encourage you to remove any identifying information  from your CV, such as address and date of birth before submitting your application.   ",https://www.reed.co.uk//jobs/finance-manager/43643364?source=searchResults&filter=%2fjobs%2fbusiness-analytic-jobs,business analytic
Finance Manager,Permanent,Warrington,"  SAS Engineering Consultant (Viya) Duration: 6 months with extension potentialLocation: Remote, then 2 days per week in ShropshireRate: £550PD IR35: Inside Clearance: SC Eligible RoleServes as SAS subject matter expert by educating team members and business partners on best practices related to SAS (9.4 and Viya) as well as identifying opportunities where SAS tools can be used.Leads the creation of standards of development, administration and support policies for SAS environment.Ensure the necessary hardware and software requirements for SAS environments are being met including capacity planning, monitoring, and maintenance.Improve internal operational efficiencies by using SAS to help improve the visibility of information through SAS-based reporting and data presentation.Understanding of SAS product security, performance, server design, Lunix/Unix integration, and storage;Experience with performance tuning/capacity planning of SAS products.Design, Architecture design and implementation of complex end to end SAS 9.4 -? SAS Viya solutions.Understanding of how SAS works, SAS services, configuration, batch orchestration, SAS in cloud deployments etc.Several years of experience in the SAS programming and implementation of business intelligence and analytic projects.Design and development dynamic end to end SAS solutions.Ability to provide SME experience across a variety of different SAS technologies including data management, visualisation, administration, architecture, fraud etc.Develops user training material and or conducts demonstrations.Strong analytical and problem solving skillsGood communication skillsAbility to work independently and as part of a teamWillingness to learn and keep up to date with the SAS product roadmap.Delivering solutions through an agile delivery framework.SkillsSAS MC, SAS Environment ManagerSAS DI , SAS DataFlux, SAS Data preparation StudioSAS Studio, SAS EGSAS EBI platform, including Stored processes.SAS Grid (inc. queues, resource mgt, storage, high availability etc.)SAS CAS, Base, Macro Programming, DS2 , Proc SQL, Proc FreqSQLSAS Visual Analytics, RTENG, SAS Visual Investigator , SAS VTASAS VDDML, SAS EM (nice to have)SAS Services , Object Spawner, Autoexec , Application Server(s), Launch Service etc.SAS Configuration (including Grid)SAS Jobs, Batch Orchestration , 3rd party scheduler , including LSF, Cron, Control-M etc.Data Modelling (e.g. Kimball etc.), Data Warehousing Data Marts, Reporting and Summary LayerLunix/Unix O/S experience (including O/S settings)Integration with variety of databases, including Hadoop, Oracle , Teradata , MY SQL, SQL Server, SAP etc.API integrationPerformance Tunning (Application / Platform based)Platform Monitoring (across the variety of solutions, applications, platform)Building End to End Solutions (including NFR).Certification in SAS (Platform, Data management)Cloud Experience (AWS, Azure)Kubernetes Experience (Nice to have)  ",https://www.reed.co.uk//jobs/finance-manager/43643364?source=searchResults&filter=%2fjobs%2fbusiness-analytic-jobs,business analytic
Systems Developer (React),Permanent,Southampton,"  The Company Our Specialist Private Sector team are experienced in a range of different markets including Banking, Insurance, Retail, Travel, Transport and Utilities. We help our customers develop, deliver and operationalise their digital transformation strategies. We work  in true partnership with our customer, gaining a deep understanding of their business and technology issues.Our capabilities and credentials across Private Sector markets enable the design, delivery and management of business transformation programmes. We help our clients respond to changing customer demands, keep ahead of the competition, and safeguard their systems  from evolving business and technology risks.The day job Through your role in our Digital Technology team, you will take responsibility to contribute to our clients’ digital transformation initiatives, enabling more informed and timely use of data for business decisions and operations, in turn driving enhanced customer  interactions and experiences. Our team is unique in the financial services industry in that they have end-to-end responsibility for data which encompasses multi-channel customer contact, adopt prescriptive, adaptive, and automated analytics, exposure to leading edge technologies and agile  business change delivery. We are seeking experienced an innovative people with either Banking or Financial Services exposure where you understand regulated environments/processes.Key responsibilities:, Required skillsYou need to have:, It would be great if you had:, If you are interested in this role but not sure if your skills and experience are exactly what we’re looking for, please do apply, we’d love to hear from you!, Full time permanent, Part time permanent, Fixed term contractLocation UK wideSecurity Clearance Level PES4Internal Recruiter LeanneSalary £40,000 TO £50,000Benefits 25 days annual leave with the option to buy additional days, life assurance, pension, and generous flexible benefits fundWe are driving the change in the future way of working at Sopra Steria and as a result, we are able to offer hybrid working patterns to employees. This allows our people to gain the right balance between their work and home life. It is important that people  feel valued as part of our organisation with wellbeing being at the heart of what we do.We are also keen to explore either part-time or more flexible working hours.  ",https://www.reed.co.uk//jobs/systems-developer-react/42936812?source=searchResults&filter=%2fjobs%2fbusiness-analytic-jobs,business analytic
Systems Developer (React),Permanent,Southampton,"  Have you ever wondered how movies get on screen? From cinema to streaming, the brilliant bunch are the world s leading provider of services to the major film studios of Hollywood and broadcasters and studios around the world. They are at the forefront of  supporting and developing new technologies and workflows in the fast-changing technical landscape of Cinema and streaming platforms., They works continually with others to develop and standardize new formats and capabilities, such as high frame rate, high dynamic range and immersive audio. They have led the way in Hollywood for over 100 years and continues to be the industry leader in  pioneering new formats, creating next gen media standards and building cutting edge delivery systems., Our good friends we re acquired last year and the new owners of the company have invested to create a brand new Ramp;D team for some exciting new projects for the industry. To this end, we are looking for senior lead engineers to help build the next generation  in theatrical mastering and distribution automation. From advanced, high end and responsive web applications to event driven microservices, this evolution of our AWS hosted platform will enable its customers better master, package and distribute movies around  the world., The key initiatives include:, * Smart React front ends for global order management, * Event driven microservices for the distribution of content via broadband, satellite and physical hard drives, * Formation of Cinema s data lake for greater business intelligence and analytic capabilities, This new Ramp;D team will consist of 9 people, one of the roles being a Lead Full Stack Engineer - We are looking for folk who have the drive and desire to  make things  and a hunger to learn and solve problems., Where you will be:, What You Bring (This is just a high level overview, you DO NOT need everything listed), More about the company: Whilst the company employee over 3500 staff worldwide, this will very much be a start-up within the company. Working with 4 people who are already in the UK. You will have full autonomy and support. You will be employed on a fully  remote basis, where you can work the hours you want - if you are a morning person or evening, they are happy to support what works for you., Note: For your first couple of weeks you will need to be available at 7pm at night to take some calls from the team in the US. And then there will be a weekly call after that around 6pm., Salary up to £100,000, with private medical, pension + more., If you would like to find out more about this incredible opportunity press apply today!  ",https://www.reed.co.uk//jobs/systems-developer-react/42936812?source=searchResults&filter=%2fjobs%2fbusiness-analytic-jobs,business analytic
Graduate Procurement Assistant,Permanent,Harlow,"  Have you ever wondered how movies get on screen? From cinema to streaming, the brilliant bunch are the world s leading provider of services to the major film studios of Hollywood and broadcasters and studios around the world. They are at the forefront of  supporting and developing new technologies and workflows in the fast-changing technical landscape of Cinema and streaming platforms., They works continually with others to develop and standardize new formats and capabilities, such as high frame rate, high dynamic range and immersive audio. They have led the way in Hollywood for over 100 years and continues to be the industry leader in  pioneering new formats, creating next gen media standards and building cutting edge delivery systems., Our good friends we re acquired last year and the new owners of the company have invested to create a brand new Ramp;D team for some exciting new projects for the industry. To this end, we are looking for senior lead engineers to help build the next generation  in theatrical mastering and distribution automation. From advanced, high end and responsive web applications to event driven microservices, this evolution of our AWS hosted platform will enable its customers better master, package and distribute movies around  the world., The key initiatives include:, * Smart React front ends for global order management* Event driven microservices for the distribution of content via broadband, satellite and physical hard drives* Formation of Cinema s data lake for greater business intelligence and analytic capabilities, This new Ramp;D team will consist of 9 people, one of the roles being a Lead Front End developer - We are looking for folk who have the drive and desire to  make things  and a hunger to learn and solve problems., Where you will be:, What You Bring (This is just a high level overview, you DO NOT need everything listed), More about the company: Whilst the company employee over 3500 staff worldwide, this will very much be a start-up within the company. Working with 4 people who are already in the UK. You will have full autonomy and support. You will be employed on a fully  remote basis, where you can work the hours you want - if you are a morning person or evening, they are happy to support what works for you., Note: For your first couple of weeks you will need to be available at 7pm at night to take some calls from the team in the US. And then there will be a weekly call after that around 6pm.Salary up to £100,000, with prv medical, pension + more.  ",https://www.reed.co.uk//jobs/graduate-procurement-assistant/43921915?source=searchResults&filter=%2fjobs%2fbusiness-analytic-jobs,business analytic
Graduate Procurement Assistant,Permanent,Harlow,"  Lead Front End DeveloperFully Remote (UK only)£80,000 - £100,000Greenfield Ramp;D Projects., Have you ever wondered how movies get on screen? From cinema to streaming, the brilliant bunch are the world s leading provider of services to the major film studios of Hollywood and broadcasters and studios around the world. They are at the forefront of supporting  and developing new technologies and workflows in the fast-changing technical landscape of Cinema and streaming platforms., They works continually with others to develop and standardize new formats and capabilities, such as high frame rate, high dynamic range and immersive audio. They have led the way in Hollywood for over 100 years and continues to be the industry leader in  pioneering new formats, creating next gen media standards and building cutting edge delivery systems., Our good friends we re acquired last year and the new owners of the company have invested to create a brand new Ramp;D team for some exciting new projects for the industry. To this end, we are looking for senior lead engineers to help build the next generation  in theatrical mastering and distribution automation. From advanced, high end and responsive web applications to event driven microservices, this evolution of our AWS hosted platform will enable its customers better master, package and distribute movies around  the world., The key initiatives include: * Smart React front ends for global order management * Event driven microservices for the distribution of content via broadband, satellite and physical hard drives * Formation of Cinema s data lake for greater business intelligence and analytic capabilities This new Ramp;D team will consist of 9 people, one of the roles being a Lead Front End developer - We are looking for folk who have the drive and desire to  make things  and a hunger to learn and solve problems. Where you will be:, What You Bring (This is just a high level overview, you DO NOT need everything listed), More about the company: Whilst the company employee over 3500 staff worldwide, this will very much be a start-up within the company. Working with 4 people who are already in the UK. You will have full autonomy and support. You will be employed on a fully remote  basis, where you can work the hours you want - if you are a morning person or evening, they are happy to support what works for you., Note: For your first couple of weeks you will need to be available at 7pm at night to take some calls from the team in the US. And then there will be a weekly call after that around 6pm. Salary up to £100,000, with prv medical, pension + more.  ",https://www.reed.co.uk//jobs/graduate-procurement-assistant/43921915?source=searchResults&filter=%2fjobs%2fbusiness-analytic-jobs,business analytic
Business Analyst - Salesforce- Service Cloud,Permanent,London,"  Have you ever wondered how movies get on screen? From cinema to streaming, the brilliant bunch are the world s leading provider of services to the major film studios of Hollywood and broadcasters and studios around the world. They are at the forefront of  supporting and developing new technologies and workflows in the fast-changing technical landscape of Cinema and streaming platforms., They works continually with others to develop and standardize new formats and capabilities, such as high frame rate, high dynamic range and immersive audio. They have led the way in Hollywood for over 100 years and continues to be the industry leader in  pioneering new formats, creating next gen media standards and building cutting edge delivery systems., Our good friends we re acquired last year and the new owners of the company have invested to create a brand new Ramp;D team for some exciting new projects for the industry. To this end, we are looking for senior lead engineers to help build the next generation  in theatrical mastering and distribution automation. From advanced, high end and responsive web applications to event driven microservices, this evolution of our AWS hosted platform will enable its customers better master, package and distribute movies around  the world., The key initiatives include:, * Smart React front ends for global order management* Event driven microservices for the distribution of content via broadband, satellite and physical hard drives* Formation of Cinema s data lake for greater business intelligence and analytic capabilities, This new Ramp;D team will consist of 9 people, one of the roles being a Lead Full Stack Engineer - We are looking for folk who have the drive and desire to  make things  and a hunger to learn and solve problems., Where you will be:, What You Bring (This is just a high level overview, you DO NOT need everything listed), More about the company: Whilst the company employee over 3500 staff worldwide, this will very much be a start-up within the company. Working with 4 people who are already in the UK. You will have full autonomy and support. You will be employed on a fully  remote basis, where you can work the hours you want - if you are a morning person or evening, they are happy to support what works for you., Note: For your first couple of weeks you will need to be available at 7pm at night to take some calls from the team in the US. And then there will be a weekly call after that around 6pm.Salary up to £100,000, with prv medical, pension + more., If you would like to find out moe about this incredible opportunity press apply today!  ",https://www.reed.co.uk//jobs/business-analyst-salesforce-service-cloud/43824368?source=searchResults&filter=%2fjobs%2fbusiness-analytic-jobs,business analytic
Business Analyst - Salesforce- Service Cloud,Permanent,London,"  CALLING ALL GRADUATES, Come and join Wowcher s Open Day!, Keen to join an exciting, well-established and innovative company but not sure exactly what you want to do? Well this is the day for you! We are very pleased to invite you to Wowcher s Graduate Open day! We are currently recruiting for graduate level positions  all across the business and want to give you the opportunity to learn and decide if any of these roles might be right for you!, So when is the day?, The day will start at 10am on Wednesday 1st September. Please arrive at least 10 minutes early to ensure you are checked in and sat down ready for the first presentation in time., The day will be held in our Dalston Junction office., 69 Dalston Lane , Hackney, E8 2NG, And how will the day work?, We will run short-presentations from our Head of Departments about what their teams do and about the roles they have available for you to get stuck into! These range from being a charismatic and targets driven Sales Associate to an analytic and business  minded Analyst., Shortly after the presentations, we will be holding a careers fair style set-up in our impressive kitchen area where you can follow up with the teams you were particularly interested in and find out more! It will also give you and them the opportunity to  suss out whether you might be good fit!, The afternoon will then be a chance to engage in first-stage interviews where you will be able to show off what you ve learnt in the morning as well as why you are the best person for the role and a great fit to join the Wowcher family!, To keep you stimulated and your stomachs lined during the day we will also be offering a buffet-style lunch and refreshments during the day., Here is a little bit about our teams: , Marketing - The hub of all things media. Whether its TV commercials, PR, social media or events, this is where the magic happens!, Sales - All those fabulous deals you see on our site, they come from some of the best sales people in the biz! Relationship building, sales pitching, negotiation… Personality is key for this one!, Analysis - The keepers of the shop window. Evaluating our deals, trends and algorithms to make sure we are bring our customers the best deals we can. Some may say the brains of the operation!, EU - This is a brand new team who are catapulting Wowcher into Spain, Belgium and Poland! A very exciting time to get involved in this new project!, What we are looking for in our graduates:, The values we live and breathe:, In return, we offer a large number of employee benefits including:, THE SUPER IMPORTANT BIT, If you would like to attend, please register your interest by emailing your CV to hr-wowcher @wowcher.co.uk, Our office is a Covid-secure environment and to ensure we are safe we will be monitoring numbers of those registering so please do register if you plan on attending. Similarly, if you are no longer able to make the day, please do let us know., We look forward to meeting you and showing you our Wowcher way of life!  ",https://www.reed.co.uk//jobs/business-analyst-salesforce-service-cloud/43824368?source=searchResults&filter=%2fjobs%2fbusiness-analytic-jobs,business analytic
"BI Developer- SQL, SSIS, QlikView, Data Warehouse, ETL,",Permanent,Durham,"  A leading multinational technology company is looking for a Negotiations Coordinatorto support their EMEIA contract negotiations team. , The role would benefit from a team player who can work in a fast-paced environment, with an exceptionally high attention to detail. The individual must have exceptionally strong organisational skills to manage and drive processes that span multiple internal  teams, be a self-starter, be able to work autonomously, have an analytic attitude and the ability to influence people by building strong relationships., The role is based in central London and provides great exposure to international and cross-functional teams. , As the Negotiations Coordinator your responsibilities will include:, To be successful in this role you will have:, Please get in touch or apply now to discuss further!, Handle Recruitment is acting as an Employment Business in relation to this vacancy.  ",https://www.reed.co.uk//jobs/bi-developer-sql-ssis-qlikview-data-warehouse-etl/43726030?source=searchResults&filter=%2fjobs%2fbusiness-analytic-jobs,business analytic
"BI Developer- SQL, SSIS, QlikView, Data Warehouse, ETL,",Permanent,Durham,"  An exciting opportunity has arisen for an experienced Recruiter to join this dynamic team., You will be Managing the application pipelines and partnering with recruiters and hiring teams to build effective sourcing strategies, Building and maintaining a network of potential candidates through pro-active market research and ongoing relationship management, Recommending ideas and strategies related to recruitment that will contribute to the long-range growth of the organization, implementing any new processes, and fine-tuning standard processes for recruiting to deliver quality results to the customer, REQUIRED SKILLS, Experience working with recruiting and people-related tools and systems, including applicant tracking systems, resume databases, internet sourcing tools, and complex spreadsheets, Ability to understand how to recruit passive candidates at all levels, Experiencing managing and prioritizing multiple searches, projects, and client relationships, Experience building and driving talent sourcing initiatives, Possess strong analytic skills with the ability to create, measure, and scale the right workflow between candidates, hiring managers, and the recruiting team, Client-focused and committed to continuous improvement; ability to proactively network and establish effective working relationships must pursue conscious cost-containment efforts in recruiting, continually seek new sourcing options and develop creative  approaches to delivering candidates to the customer., PREFERRED SKILLS, Possess strong analytic skills with the ability to create, measure, and scale the right workflow between candidates, hiring managers, and the recruiting team, Client-focused and committed to continuous improvement; ability to proactively network and establish effective working relationships must pursue conscious cost-containment efforts in recruiting, continually seek new sourcing options and develop creative  approaches to delivering candidates to the customer., WORK REMOTELY, EXCITED? PLEASE APPLY, Parkside Recruitment Ltd is acting as an Employment Business in relation to this vacancy. Parkside Recruitment is an Equal Opportunities Employer.  ",https://www.reed.co.uk//jobs/bi-developer-sql-ssis-qlikview-data-warehouse-etl/43726030?source=searchResults&filter=%2fjobs%2fbusiness-analytic-jobs,business analytic
